case_id,profile,attempt_id,stream,sha256,frames,sample_rate_hz,subtype,gain,status,exact_projection,threshold_fitting
C30_calibration_R04,P_MAIN6,C_CAL_MAIN_R04,focus0_pp_raw,c9e1d141dbab5f409771bcae657cf2de14c49d85e4a56ab6cfec2714870266f9,2083127,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C30_calibration_R04,P_MAIN6,C_CAL_MAIN_R04,focus1_pp_raw,26c42daef9e84260ce5e3ac590dd549a28fc0264edde40f7c80aac43e8ba60f8,2083127,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C30_calibration_R12,P_MAIN6,C_CAL_MAIN_R12,auto_asr_raw,c155ca28c19f2ec2f906f197f6ebf45038dfa0179bc487a424c9abf5acf5493c,2083127,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C30_calibration_R12,P_MAIN6,C_CAL_MAIN_R12,auto_pp_raw,f5c55837afca13ee0e023eb2d6fc9ceec9bc72cc302a408277c8291a2769f5ac,2083127,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C30_calibration_R12,P_MAIN6,C_CAL_MAIN_R12,focus0_asr_raw,9e6a9790572a158b57b004d61903a469b6f4e41645cd907b63b6a8d3423ebd53,2083127,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C30_calibration_R12,P_MAIN6,C_CAL_MAIN_R12,focus1_asr_raw,ad6eca183810c333e45a5fcac0a718e135c6bde808210c0a6e480a7ba238553c,2083127,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C30_calibration_R12,P_MAIN6,C_CAL_MAIN_R12,focus0_pp_raw,6975d3cc70235d830bd482ffc8cc5651d78afced4071cc14cd2df39e44f30604,2083127,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
C30_calibration_R12,P_MAIN6,C_CAL_MAIN_R12,focus1_pp_raw,6af857a3c3b9ead2860af237c7e91818da917df09e616537eb1ae18f03459214,2083127,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
same_C_two_paths,P_SCAN6,QUAL_SCAN_03,auto_asr_raw,0fb0334b25f46a79e72d3654a78617f366b4bfc94439c7ba6734c1e2c255c4a9,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
same_C_two_paths,P_SCAN6,QUAL_SCAN_03,auto_pp_raw,70743db9aa5a85409ebbca3eb056a9ba7fcefe02d2db025c9de57321e8223e2c,251148,16000,PCM_24,1.0,HASH_VERIFIED_COLLECTION_ONLY,UNAVAILABLE_NOT_ADMITTED,NOT_ADMITTED_WITHOUT_SEPARATE_C_ONLY_PROJECTION_REVIEW
