job_id,case_id,tap,status,reference_class,audio_sha256,cache_key,source_frames,delivered_frames,source_seconds,elapsed_seconds,session_event_rows,archive_event_rows,clock_rows,transcript_event_rows,latest_utterances,caption_rows,unique_word_spans,duplicate_span_ids,span_speaker_revisions_after_first,span_missing_first_label,span_missing_committed_label,exact_word_times,observed_clock_order_violations,raw_asr_fields,formatted_final_fields,raw_formatted_differing_fields,optional_corrected_fields,text_partial_events,text_final_events,label_revision_decisions,asr_loads_process_cumulative,speaker_loads_process_cumulative,source_history_reset,private_gallery_queries,wer_reference_words,wer_edits,wer,wer_status
N1_BASELINE_S45_02_14_O0,S45_02_14,O0,COMPLETE,complete_nonoverlap,2f08f0f4576ea6fdade30dcd8f9606e521733130a51c7e4fe0cccccaa200d6e4,227ecf4cfa391eb6ced6b73e8eca66139caf7c5a956a0938921ed1195e9c3c20,715127,715127,44.6954375,45.3119999999999,492,2748,786,4,4,20,38,0,0,0,0,0,0,20,20,20,0,41,4,21,1,1,True,0,38,1,0.02631578947368421,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_02_14_O1,S45_02_14,O1,COMPLETE,complete_nonoverlap,d07d3ba361f9b6da64c44595b5aba04bf241688ff83ad6de9b110c6d546cff0d,3efb22f1ac6b529e29cb14432429687ddf553354768a3fbf840337d69f3bcccd,715127,715127,44.6954375,45.3130000000001,477,2738,775,4,4,23,39,0,0,0,0,0,0,23,23,23,0,40,4,23,1,1,True,0,38,4,0.10526315789473684,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_02_16_O0,S45_02_16,O0,COMPLETE,complete_nonoverlap,912d08651ffb3fd35a20b14399fdf6faac4d08d90426fa1e3d0d31b01b8314c0,9e7ef87a5660f87a444e5098f26c3b7760262585cee3f7b6284030ad969ab4ac,715127,715127,44.6954375,45.3130000000001,39,2717,714,4,4,26,40,0,0,0,0,0,0,26,26,26,0,40,4,25,1,1,True,0,40,4,0.1,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_02_16_O1,S45_02_16,O1,COMPLETE,complete_nonoverlap,ce3e290a7842129d3bbec86d34838b7af8aeb18a668234fc323ada91be14cc42,f43a9b2688976aeec49ad69ed7b31d4c3f2d7fd53005e780af01e4ec4b188811,715127,715127,44.6954375,45.3130000000001,14,2718,715,4,4,25,36,0,0,0,0,0,0,25,25,25,0,39,4,25,1,1,True,0,40,5,0.125,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_02_18_O0,S45_02_18,O0,COMPLETE,complete_nonoverlap,19411dc1f5b3347222417a31447a863c44918e2733d87a81065377bd4ff94511,c89be79d0b9b3135b2b47caba620aba858066ec579b6fef7d8654cc7bc6418bd,715127,715127,44.6954375,45.3130000000001,14,2554,506,4,4,17,25,0,0,0,0,0,0,17,17,16,0,26,4,13,1,1,True,0,26,1,0.038461538461538464,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_02_18_O1,S45_02_18,O1,COMPLETE,complete_nonoverlap,19b06573c665af2b83958d47105e332824c44c6e365b5a8bb9cd27dd0568725e,4ea41c9f4c1ce58e0a15ce5ada91a068ec2b7003513460781edecf9ea468376c,715127,715127,44.6954375,45.327999999999975,593,2562,522,4,4,17,25,0,0,0,0,0,0,17,17,16,0,28,4,17,1,1,True,0,26,1,0.038461538461538464,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_03_02_O0,S45_03_02,O0,COMPLETE,complete_nonoverlap,3eaf3b0e70ba273fc1601d2c19de47e00233b40f670224e06356754dfe4f0050,f5f56830f0b03f14e13ceec2581bfe7f56b0fa25f3c06176b46416b63fc2f13e,715127,715127,44.6954375,45.297000000000025,418,2766,776,6,6,25,37,0,0,0,0,0,0,25,25,25,0,41,6,27,1,1,True,0,37,4,0.10810810810810811,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_03_02_O1,S45_03_02,O1,COMPLETE,complete_nonoverlap,a67b0c1993a761b088433b6827bc6f914e3788dfaae5d4a2618b62a44b178473,8f5f84a0efa1d1647646eaf5fe3a7488a7f807657803ad674777481ddf28ec89,715127,715127,44.6954375,45.297000000000025,317,2751,743,6,6,23,37,0,0,0,0,0,0,23,23,23,0,40,6,28,1,1,True,0,37,4,0.10810810810810811,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_03_09_O0,S45_03_09,O0,COMPLETE,complete_nonoverlap,325fc288930740ddce5bb6e2dbece90da406aa7a015934bf8997e90feee5e15b,d2f454e811903a3ab8f4826d23b03324920a4a3e42024045acc5984bada1c52d,715127,715127,44.6954375,45.28099999999995,434,2432,375,1,1,11,15,0,0,0,0,0,0,11,11,10,0,15,1,8,1,1,True,0,15,2,0.13333333333333333,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
N1_BASELINE_S45_03_09_O1,S45_03_09,O1,COMPLETE,complete_nonoverlap,b3925daba53afe3f7ce5d58c9b6d5ebb258d2551eb16710f35c3533946270e1c,086310e2dfb04ce0a373606687d9765899dca15d5bbc6711ace3eb28f54fa22b,715127,715127,44.6954375,45.26499999999987,459,2451,417,1,1,10,15,0,0,0,0,0,0,10,10,9,0,14,1,14,1,1,True,0,15,2,0.13333333333333333,DESCRIPTIVE_COMPLETE_NONOVERLAP_ONLY
